bookID,authors
1,J.K. Rowling/Mary GrandPré
2,J.K. Rowling/Mary GrandPré
4,J.K. Rowling
5,J.K. Rowling/Mary GrandPré
8,J.K. Rowling/Mary GrandPré
9,W. Frederick Zimmerman
10,J.K. Rowling
12,Douglas Adams
13,Douglas Adams
14,Douglas Adams
16,Douglas Adams/Stephen Fry
18,Douglas Adams
21,Bill Bryson
22,Bill Bryson
23,Bill Bryson
24,Bill Bryson
25,Bill Bryson
26,Bill Bryson
27,Bill Bryson
28,Bill Bryson
29,Bill Bryson
30,J.R.R. Tolkien
31,J.R.R. Tolkien
34,J.R.R. Tolkien
35,J.R.R. Tolkien/Alan  Lee
36,Chris   Smith/Christopher  Lee/Richard Taylor
37,Jude Fisher
45,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz
50,Gary Paulsen
51,Donna Ickes/Edward Sciranko/Keith Vasconcelles
53,Gary Paulsen
54,Molly Hatchet
55,Dale Peck
57,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati
58,Delia Sherman
59,Patricia A. McKillip
61,Zilpha Keatley Snyder
63,Kate Horsley
66,Philippa Carr
67,Edward P. Jones
68,Edward P. Jones/Kevin R. Free
69,Edward P. Jones
71,Satyajit Das
72,Mark Smylie
74,John McPhee/William Howarth
75,John McPhee
76,John McPhee
77,John McPhee
78,John McPhee
79,John McPhee
80,John McPhee
81,John McPhee
83,John McPhee
85,Wendy Wasserstein
86,Wendy Wasserstein
89,Heidi Hayes Jacobs
90,Heidi Boyd
91,Heidi Baker/Rolland Baker
92,Heidi Hayes Jacobs
93,Johanna Spyri/Beverly Cleary/Angelo  Rinaldi
94,Heidi Hayes Jacobs
96,Rolland Baker/Heidi Baker
98,Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome
99,Heidi Fleiss/Libby Keatinge
100,Heidi Boyd
103,Frank Herbert
105,Frank Herbert
106,Frank Herbert
107,Brian Herbert
109,Frank Herbert
110,Frank Herbert/Brian Herbert/Kevin J. Anderson
117,Frank Herbert
119,Gary Russell
122,Bryce Courtenay
123,Bryce Courtenay
129,John C. Maxwell/Stephen R. Graves/Thomas G. Addington
130,Dave Lakhani
131,Louis E. Catron
132,Adam Ginsberg
133,Marsha Collier
135,Chris Malta/Lisa Suttora
137,Marsha Collier
138,Julia Wilkinson
139,Marsha Collier
140,Marsha Collier
141,Lucas Carlson/Leonard Richardson
142,Ruby Ann Boxcar
144,Ruby Ann Boxcar
147,Rob Orsini
151,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky
152,Leo Tolstoy/David Magarshack/Priscilla Meyer
153,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley
154,Marianne Sturman/Leo Tolstoy
155,Leo Tolstoy/Amy Mandelker/Constance Garnett
156,Leo Tolstoy/Louise Maude/Aylmer Maude
157,Leo Tolstoy/Constance Garnett/Amy Mandelker
159,Gloria Goldreich
160,Anthony Thorlby
162,Mulk Raj Anand/E.M. Forster
163,John Banville
164,Eliot Ness/Oscar Fraley
165,Narendra Jadhav
166,V.T. Rajshekar/Y.N. Kly
168,Vasant Moon/Gail Omvedt/Eleanor Zelliot
171,Barry R. Cournoyer
177,John Carratello/Patty Carratello/Theresa Wright
180,George Smoot/Keay Davidson
181,Madeleine L'Engle
182,Tara MacCarthy
201,Madeleine L'Engle
204,Cynthia Harrod-Eagles
205,Charles Todd
207,Ewan McGregor/Charley Boorman/Robert Uhlig
208,Daniel Abraham
213,Charles Willeford/James Lee Burke
214,Charles Willeford/Lawrence Block
216,Charles Willeford/Elmore Leonard
230,Charles Willeford
231,Tom Wolfe
237,Edward Lear/Laura Huliska-Beith/Edward Mendelson
244,Quentin Blake
245,Henry Miller/Thomas H. Moore
247,Henry Miller
249,Henry Miller/Jiří Níl
250,Henry Miller
251,Henry Miller
252,Henry Miller
253,Henry Miller
264,Henry James/Patricia Crick
269,Henry James/Gabriel Brownstein/Mary Cregan
277,Marguerite Duras
278,Marguerite Duras/Barbara Bray
280,Marguerite Duras/Richard Seever
285,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari
288,Jean Gibran/جبران خليل جبران/Kahlil Gibran
289,Kahlil Gibran/John Walbridge/Robin Waterfield
290,Kahlil Gibran/جبران خليل جبران
291,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris
292,Kahlil Gibran/جبران خليل جبران
295,Robert Louis Stevenson
296,Robert Louis Stevenson/Scott McKowen
297,Robert Louis Stevenson
298,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis
299,Robert Louis Stevenson/Milo Winter
302,Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson
313,Ralph Ginzburg
324,Gabriel García Márquez
330,Dr. Seuss
332,Debbie Raleigh
333,Kevin Henkes
337,Patrick Süskind
348,Robert A. Heinlein
350,Robert A. Heinlein
354,Robert A. Heinlein
355,Robert A. Heinlein
356,Robert A. Heinlein
357,Douglas Adams
359,Douglas Adams
362,Nick  Webb
367,Terry Jones
377,Douglas Adams/Christopher Cerf
382,Susan Nanus/Norton Juster
385,Harry G. Frankfurt
386,Nick Flynn
394,Garry Wills
397,Abraham Lincoln/Michael McCurdy
399,Don DeLillo
400,Don DeLillo
403,Don DeLillo
404,Don DeLillo
406,Don DeLillo
407,Don DeLillo
408,Don DeLillo
409,Thomas Pynchon
410,Thomas Pynchon
411,Thomas Pynchon
412,Thomas Pynchon
413,Thomas Pynchon/Christophe Claro/Brice Matthieussent
414,Thomas Pynchon
415,Thomas Pynchon
416,Thomas Pynchon
418,Richard Fariña/Thomas Pynchon
420,Joan Didion
421,Joan Didion
422,Joan Didion
423,Joan Didion
424,Joan Didion
425,Joan Didion
426,Joan Didion/John Leonard
428,Joan Didion/David Thomson
431,Paul Auster/Art Spiegelman/Luc Sante
432,Paul Auster
434,Paul Auster
435,Paul Auster
444,Peter Moon/Preston B. Nichols/Nina Helms
446,Paul Auster
447,Paul Auster
453,Paul Auster
454,Paul Auster
456,Paul Auster
463,Paul Auster
466,Paul Auster
475,Jared Diamond
476,Stephen Leeb/Glen C. Strathy
477,Joseph A. Tainter
478,Robert D. Putnam
481,Philip K. Howard
484,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco
493,Nikola Tesla
494,Marc J.  Seifer/William H. Terbo
497,Carol Dommermuth-Costa
498,Nikola Tesla/David Hatcher Childress
511,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye
515,Dave Thomas/Chad Fowler/Andy Hunt
523,Maureen Kelly/CliffsNotes/William Golding
524,William Golding
531,Victor Davis Hanson
534,Ephraim Sevela/Antonina W. Bouis
537,Alice Sebold
538,Alice Sebold
539,Sharyn McCrumb
565,Dave Shea/Molly E. Holzschlag
570,Elizabeth Castro
576,Michael Ochs/Patrick Javault/Ulrike Wasel
597,Chuck Klosterman
599,Chuck Klosterman
619,Jane Feather
629,Robert M. Pirsig
