1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,eng,652,2095690,Scholastic Inc.,Children's,28
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,eng,870,2153167,Scholastic Inc.,Self-help,46
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,eng,352,6333,Scholastic,Historical Fiction,49
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,eng,435,2339585,Scholastic Inc.,Self-help,16
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,eng,2690,41428,Scholastic,Mystery,17
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,en-US,152,19,Nimble Books,Young Adult,48
10,Harry Potter Collection (Harry Potter  #1-6),4.73,eng,3342,28242,Scholastic,Fantasy,23
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,eng,815,3628,Gramercy Books,Western,17
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,eng,815,249558,Del Rey Books,Western,40
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,eng,215,4930,Crown,Biography,45
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,eng,6,1266,Random House Audio,Mystery,40
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,eng,815,2877,Wings Books,Biography,15
21,A Short History of Nearly Everything,4.21,eng,544,248558,Broadway Books,Dystopian,41
22,Bill Bryson's African Diary,3.44,eng,55,7270,Broadway Books,Science Fiction,38
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,eng,256,2088,Broadway Books,Biography,49
24,In a Sunburned Country,4.07,eng,335,72451,Broadway Books,Children's,18
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,eng,304,49240,Broadway Books,Memoir,47
26,The Lost Continent: Travels in Small Town America,3.83,eng,299,45712,William Morrow Paperbacks,Mystery,41
27,Neither Here nor There: Travels in Europe,3.86,eng,254,48701,William Morrow Paperbacks,Non-fiction,14
28,Notes from a Small Island,3.91,eng,324,80609,William Morrow Paperbacks,Romance,38
29,The Mother Tongue: English and How It Got That Way,3.93,eng,270,28489,William Morrow Paperbacks,Romance,33
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,eng,1728,101233,Ballantine Books,Western,38
31,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,eng,1184,1710,Houghton Mifflin Harcourt,Children's,25
34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,eng,398,2128944,Houghton Mifflin Harcourt,Romance,16
35,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,en-US,1216,1618,Houghton Mifflin Harcourt,Young Adult,36
