bookID,authors
1,JK RowlingMary GrandPr
2,JK RowlingMary GrandPr
4,JK Rowling
5,JK RowlingMary GrandPr
8,JK RowlingMary GrandPr
9,W Frederick Zimmerman
10,JK Rowling
12,Douglas Adams
13,Douglas Adams
14,Douglas Adams
16,Douglas AdamsStephen Fry
18,Douglas Adams
21,Bill Bryson
22,Bill Bryson
23,Bill Bryson
24,Bill Bryson
25,Bill Bryson
26,Bill Bryson
27,Bill Bryson
28,Bill Bryson
29,Bill Bryson
30,JRR Tolkien
31,JRR Tolkien
34,JRR Tolkien
35,JRR TolkienAlan  Lee
36,Chris   SmithChristopher  LeeRichard Taylor
37,Jude Fisher
45,Dave ThomasDavid Heinemeier HanssonLeon BreedtMike ClarkThomas  FuchsAndreas  Schwarz
50,Gary Paulsen
51,Donna IckesEdward ScirankoKeith Vasconcelles
53,Gary Paulsen
54,Molly Hatchet
55,Dale Peck
57,Angela KnightSahara KellyJudy MaysMarteeka KarlandKate DouglasShelby MorgenLacey SavageKate HillWilla Okati
58,Delia Sherman
59,Patricia A McKillip
61,Zilpha Keatley Snyder
63,Kate Horsley
66,Philippa Carr
67,Edward P Jones
68,Edward P JonesKevin R Free
69,Edward P Jones
71,Satyajit Das
72,Mark Smylie
74,John McPheeWilliam Howarth
75,John McPhee
76,John McPhee
77,John McPhee
78,John McPhee
79,John McPhee
80,John McPhee
81,John McPhee
83,John McPhee
85,Wendy Wasserstein
86,Wendy Wasserstein
89,Heidi Hayes Jacobs
90,Heidi Boyd
91,Heidi BakerRolland Baker
92,Heidi Hayes Jacobs
93,Johanna SpyriBeverly ClearyAngelo  Rinaldi
94,Heidi Hayes Jacobs
96,Rolland BakerHeidi Baker
98,Heidi MurkoffSharon MazelArlene EisenbergSandee HathawayMark D Widome
99,Heidi FleissLibby Keatinge
100,Heidi Boyd
103,Frank Herbert
105,Frank Herbert
106,Frank Herbert
107,Brian Herbert
109,Frank Herbert
110,Frank HerbertBrian HerbertKevin J Anderson
117,Frank Herbert
119,Gary Russell
122,Bryce Courtenay
123,Bryce Courtenay
129,John C MaxwellStephen R GravesThomas G Addington
130,Dave Lakhani
131,Louis E Catron
132,Adam Ginsberg
133,Marsha Collier
135,Chris MaltaLisa Suttora
137,Marsha Collier
138,Julia Wilkinson
139,Marsha Collier
140,Marsha Collier
141,Lucas CarlsonLeonard Richardson
142,Ruby Ann Boxcar
144,Ruby Ann Boxcar
147,Rob Orsini
151,Leo TolstoyRichard PevearLarissa Volokhonsky
152,Leo TolstoyDavid MagarshackPriscilla Meyer
153,Leo TolstoyRichard PevearLarissa VolokhonskyJohn Bayley
154,Marianne SturmanLeo Tolstoy
155,Leo TolstoyAmy MandelkerConstance Garnett
156,Leo TolstoyLouise MaudeAylmer Maude
157,Leo TolstoyConstance GarnettAmy Mandelker
159,Gloria Goldreich
160,Anthony Thorlby
162,Mulk Raj AnandEM Forster
163,John Banville
164,Eliot NessOscar Fraley
165,Narendra Jadhav
166,VT RajshekarYN Kly
168,Vasant MoonGail OmvedtEleanor Zelliot
171,Barry R Cournoyer
177,John CarratelloPatty CarratelloTheresa Wright
180,George SmootKeay Davidson
181,Madeleine LEngle
182,Tara MacCarthy
201,Madeleine LEngle
204,Cynthia HarrodEagles
205,Charles Todd
207,Ewan McGregorCharley BoormanRobert Uhlig
208,Daniel Abraham
213,Charles WillefordJames Lee Burke
214,Charles WillefordLawrence Block
216,Charles WillefordElmore Leonard
230,Charles Willeford
231,Tom Wolfe
237,Edward LearLaura HuliskaBeithEdward Mendelson
244,Quentin Blake
245,Henry MillerThomas H Moore
247,Henry Miller
249,Henry MillerJi Nl
250,Henry Miller
251,Henry Miller
252,Henry Miller
253,Henry Miller
264,Henry JamesPatricia Crick
269,Henry JamesGabriel BrownsteinMary Cregan
277,Marguerite Duras
278,Marguerite DurasBarbara Bray
280,Marguerite DurasRichard Seever
285,Kahlil GibranSuheil BushruiSalma H AlKuzbari
288,Jean Gibran  Kahlil Gibran
289,Kahlil GibranJohn WalbridgeRobin Waterfield
290,Kahlil Gibran  
291,Kahlil Gibran  Anthony Rizcallah Ferris
292,Kahlil Gibran  
295,Robert Louis Stevenson
296,Robert Louis StevensonScott McKowen
297,Robert Louis Stevenson
298,Robert Louis StevensonNC WyethTimothy Meis
299,Robert Louis StevensonMilo Winter
302,Deidre S LaikenAJ McAllisterRobert Louis Stevenson
313,Ralph Ginzburg
324,Gabriel Garca Mrquez
330,Dr Seuss
332,Debbie Raleigh
333,Kevin Henkes
337,Patrick Sskind
348,Robert A Heinlein
350,Robert A Heinlein
354,Robert A Heinlein
355,Robert A Heinlein
356,Robert A Heinlein
357,Douglas Adams
359,Douglas Adams
362,Nick  Webb
367,Terry Jones
377,Douglas AdamsChristopher Cerf
382,Susan NanusNorton Juster
385,Harry G Frankfurt
386,Nick Flynn
394,Garry Wills
397,Abraham LincolnMichael McCurdy
399,Don DeLillo
400,Don DeLillo
403,Don DeLillo
404,Don DeLillo
406,Don DeLillo
407,Don DeLillo
408,Don DeLillo
409,Thomas Pynchon
410,Thomas Pynchon
411,Thomas Pynchon
412,Thomas Pynchon
413,Thomas PynchonChristophe ClaroBrice Matthieussent
414,Thomas Pynchon
415,Thomas Pynchon
416,Thomas Pynchon
418,Richard FariaThomas Pynchon
420,Joan Didion
421,Joan Didion
422,Joan Didion
423,Joan Didion
424,Joan Didion
425,Joan Didion
426,Joan DidionJohn Leonard
428,Joan DidionDavid Thomson
431,Paul AusterArt SpiegelmanLuc Sante
432,Paul Auster
434,Paul Auster
435,Paul Auster
444,Peter MoonPreston B NicholsNina Helms
446,Paul Auster
447,Paul Auster
453,Paul Auster
454,Paul Auster
456,Paul Auster
463,Paul Auster
466,Paul Auster
475,Jared Diamond
476,Stephen LeebGlen C Strathy
477,Joseph A Tainter
478,Robert D Putnam
481,Philip K Howard
484,Joy HarjoGloria BirdBeth CuthandValerie MartinezPatricia Blanco
493,Nikola Tesla
494,Marc J  SeiferWilliam H Terbo
497,Carol DommermuthCosta
498,Nikola TeslaDavid Hatcher Childress
511,Julie Elizabeth LetoLeslie KellyKimberly Raye
515,Dave ThomasChad FowlerAndy Hunt
523,Maureen KellyCliffsNotesWilliam Golding
524,William Golding
531,Victor Davis Hanson
534,Ephraim SevelaAntonina W Bouis
537,Alice Sebold
538,Alice Sebold
539,Sharyn McCrumb
565,Dave SheaMolly E Holzschlag
570,Elizabeth Castro
576,Michael OchsPatrick JavaultUlrike Wasel
597,Chuck Klosterman
599,Chuck Klosterman
619,Jane Feather
629,Robert M Pirsig
639,Kevin OMalleyCarol HeyerScott Goto
642,Ronald L DiSantoThomas J Steele
643,John Harold Haynes
650,Catharine M FishelBill Gardner
655,Leo TolstoyHugh McLean
656,Leo TolstoyHenry GiffordAylmer MaudeLouise Maude
658,Leo TolstoyConstance Garnett
662,Ayn RandLeonard Peikoff
663,Ayn Rand
664,Ayn Rand
665,Ayn RandNathaniel Branden
667,Ayn Rand
668,Ayn RandLeonard Peikoff
669,Ayn RandNathaniel BrandenAlan GreenspanRobert Hessen
670,Ayn RandMichael S BerlinerLeonard Peikoff
672,JJ IslerPeter Isler
675,Colin  Wells
676,Billy Collins
678,Christopher Caswell
681,Kevin Trudeau
685,Bernard MalamudKevin Baker
698,Anne Tyler
700,Gary ColomboBonnie Lisle
702,Thomas E SkidmorePeter H Smith
703,Philip Roth
707,Jon   Stewart
759,Gabriel Garca MrquezGregory RabassaJS Bernstein
762,Gabriel Garca Mrquez
763,Gabriel Garca Mrquez
764,Gabriel Garca Mrquez
765,Gabriel Garca MrquezEdith Grossman
766,Gabriel Garca Mrquez
771,Brian Greene
775,Upasika Kee NanayonThanissaro Bhikkhu
787,Rob HumphreysBeth ChaplinRebecca Morrill
793,Lonely PlanetSarah JohnstoneSteve Fallon
797,Lonely PlanetSarah JohnstoneTom Masters
799,Lonely PlanetMark Honan
815,HG Bissinger
816,Neal Stephenson
821,Neal Stephenson
822,Neal Stephenson
823,Neal Stephenson
824,Neal StephensonJ Frederick George
826,Neal Stephenson
827,Neal StephensonPedro Jorge Romero
828,Neal StephensonGeorge F JewsburyStephen  Bury
829,Neal Stephenson
830,Neal StephensonGuy Abadia
834,Dan HarringtonBill Robertie
835,Dan HarringtonBill Robertie
840,Donald A Norman
841,Donald A Norman
842,Donald A Norman
848,Alex C JonesDiane M HansonStephen K Ray
864,Paulo CoelhoAlan R ClarkeJames Noel Smith
865,Paulo CoelhoAlan R Clarkezdemir nce
866,Hiromu ArakawaAkira Watanabe
868,Hiromu ArakawaAkira Watanabe
869,Hiromu ArakawaAkira Watanabe
